기준시간,개표율,개표수,윤석열_득표율,윤석열_득표수,이재명_득표율,이재명_득표수,표차
2022-03-09 21:17:00,0.3,101526,37.66,37445,59.42,59081,21636
2022-03-09 21:24:00,0.49,167718,40.21,66673,56.77,94131,27458
2022-03-09 21:25:00,0.51,174209,39.84,68603,57.16,98425,29822
2022-03-09 21:26:00,0.56,189358,40.35,75548,56.64,106039,30491
2022-03-09 21:27:00,0.58,197321,40.83,79648,56.12,109467,29819
2022-03-09 21:28:00,0.61,207564,40.88,83879,56.06,115017,31138
2022-03-09 21:29:00,0.63,215757,41.32,88130,55.63,118652,30522
2022-03-09 21:30:00,0.69,235692,42.39,98806,54.54,127115,28309
2022-03-09 21:31:00,0.73,247501,42.69,104474,54.25,132753,28279
2022-03-09 21:32:00,0.77,262014,43.05,111534,53.89,139611,28077
2022-03-09 21:33:00,0.85,288562,43.0,122704,53.96,153997,31293
2022-03-09 21:34:00,0.9,306557,43.11,130694,53.87,163314,32620
2022-03-09 21:35:00,0.98,333901,43.19,142643,53.77,177594,34951
2022-03-09 21:36:00,1.03,352114,43.42,151256,53.54,186500,35244
2022-03-09 21:37:00,1.09,370098,43.59,159613,53.36,195416,35803
2022-03-09 21:38:00,1.15,393421,43.64,169933,53.33,207643,37710
2022-03-09 21:39:00,1.23,417610,43.35,179210,53.63,221700,42490
2022-03-09 21:40:00,1.32,448872,43.75,194390,53.23,236493,42103
2022-03-09 21:41:00,1.41,480241,43.62,207356,53.36,253656,46300
2022-03-09 21:42:00,1.45,493374,43.76,213724,53.22,259935,46211
2022-03-09 21:43:00,1.54,525671,43.56,226703,53.42,278031,51328
2022-03-09 21:44:00,1.6,546677,43.36,234716,53.62,290222,55506
2022-03-09 21:45:00,1.69,574360,43.65,248237,53.33,303317,55080
2022-03-09 21:46:00,1.73,589768,43.75,255522,53.22,310827,55305
2022-03-09 21:47:00,1.8,613368,43.64,265109,53.34,324029,58920
2022-03-09 21:48:00,1.85,630573,43.6,272310,53.39,333444,61134
2022-03-09 21:49:00,1.94,661456,43.52,285119,53.45,350153,65034
2022-03-09 21:50:00,2.04,696257,43.51,299968,53.46,368602,68634
