호선,역명,lat,lng,역주소,역번호
1,서울역,37.5554652,126.9737482,서울특별시 중구 세종대로 지하 2 (남대문로 5가),150
1,시청,37.5665684,126.9728716,서울특별시 중구 세종대로 지하 101 (정동),151
1,종각,37.5701623,126.9802978,서울특별시 종로구 종로 지하 55 (종로1가),152
1,종로3가,37.570436,126.992148,서울특별시 종로구 종로 지하 129 (종로3가),153
1,종로5가,37.5704682,127.0038437,서울특별시 종로구 종로 지하 216  (종로5가),154
1,동대문,37.5728124,127.0145062,서울특별시 종로구 종로 지하 302 (창신동),155
1,신설동,37.575989,127.024381,서울특별시 동대문구 왕산로 지하 1 (신설동),156
1,제기동,37.5781178,127.0349086,서울특별시 동대문구 왕산로 지하 93 (제기동),157
1,청량리,37.5803953,127.0379534,서울특별시 동대문구 왕산로 지하 205(전농동),158
1,동묘앞,37.5775655,127.0223208,서울특별시 종로구 종로 359 (숭인동),159
2,까치산,37.53247,126.84637,서울특별시 강서구 강서로 지하54 (화곡동),200
2,을지로입구,37.566065,126.982679,서울특별시 중구 을지로 지하 42 (을지로1가),202
2,을지로3가,37.5661262,126.9916862,서울특별시 중구 을지로 지하 106 (을지로3가),203
2,을지로4가,37.566621,126.997733,서울특별시 중구 을지로 지하 178 (을지로4가),204
2,동대문역사문화공원,37.5661787,127.0097427,서울특별시 중구 을지로 지하 279 (을지로7가),205
2,신당,37.565669,127.019452,서울특별시 중구 퇴계로 지하 431-1 (신당동),206
2,상왕십리,37.5645,127.028872,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),207
2,왕십리,37.5611822,127.0363048,서울특별시 성동구 왕십리로 지하300 (행당동),208
2,한양대,37.560825,127.0367774,서울특별시 성동구 왕십리로 206 (행당동),209
2,뚝섬,37.5471773,127.0473802,서울특별시 성동구 아차산로 18 (성수동1가),210
2,성수,37.5446009,127.0568847,서울특별시 성동구 아차산로 100 (성수동2가),211
2,건대입구,37.5435547,127.073456,서울특별시 광진구 아차산로 243 (화양동),212
2,구의,37.5551317,127.1027026,서울특별시 광진구 아차산로 384-1 (구의동),213
2,강변,37.5354211,127.094533,서울특별시 광진구 강변역로 53 (구의동),214
2,잠실나루,37.5197822,127.1083604,서울특별시 송파구 오금로 20 (신천동),215
2,잠실,37.5130478,127.0994508,서울특별시 송파구 올림픽로 지하 265 (잠실동),216
2,잠실새내,37.511632,127.085602,서울특별시 송파구 올림픽로 지하 140 (잠실동),217
2,종합운동장,37.5154135,127.1035358,서울특별시 송파구 올림픽로 지하 23 (잠실동),218
2,삼성,37.5104569,127.0655388,서울특별시 강남구 테헤란로 지하 538 (삼성동),219
2,선릉,37.5139848,127.0565207,서울특별시 강남구 테헤란로 지하 340 (삼성동),220
2,역삼,37.4999072,127.0373932,서울특별시 강남구 테헤란로 지하 156 (역삼동),221
2,강남,37.4977857,127.027777,서울특별시 강남구 강남대로 지하 396 (역삼동),222
2,교대,37.5060582,127.0033885,서울특별시 서초구 서초대로 지하 294 (서초동),223
2,서초,37.4900549,127.0007641,서울특별시 서초구 서초대로 지하 233 (서초동),224
2,방배,37.4866882,126.9948792,서울특별시 서초구 방배로 지하 80 (방배동),225
2,사당,37.476379,126.9735832,서울특별시 동작구 남부순환로 지하 2089 (사당동),226
2,낙성대,37.4795497,126.9433403,서울특별시 관악구 남부순환로 지하 1928 (봉천동),227
2,서울대입구,37.4795497,126.9433403,서울특별시 관악구 남부순환로 지하 1822 (봉천동),228
2,봉천,37.4825178,126.941481,서울특별시 관악구 남부순환로 지하 1721 (봉천동),229
2,신림,37.4842107,126.9296988,서울특별시 관악구 남부순환로 지하 1614 (신림동),230
2,신대방,37.4875104,126.9129914,서울특별시 동작구 대림로 2 (신대방동),231
2,구로디지털단지,37.4851265,126.9015288,서울특별시 구로구 도림천로 477 (구로동),232
2,대림,37.4932697,126.89405,서울 구로구 구로6동 125-66,233
2,신도림,37.5088099,126.8912061,서울특별시 구로구 새말로 지하 117-21 (신도림동),234
2,문래,37.5161086,126.8999226,서울특별시 영등포구 당산로 지하 28 (문래동3가),235
2,영등포구청,37.534954,126.9024222,서울특별시 영등포구 당산로 지하 121 (당산동3가),236
2,당산,37.5349309,126.9027301,서울특별시 영등포구 당산로 229 (당산동 6가),237
2,합정,37.5568946,126.9233,서울특별시 마포구 양화로 지하 55 (서교동),238
2,홍대입구,37.5567292,126.9236419,서울특별시 마포구 양화로 지하160 (동교동),239
2,신촌,37.5538162,126.9367619,서울특별시 마포구 신촌로 지하 90 (노고산동),240
2,이대,37.5469042,126.9438824,서울특별시 마포구 신촌로 지하 180 (염리동),241
2,아현,37.5570803,126.9557043,서울특별시 마포구 신촌로 지하 270 (아현동),242
2,충정로,37.5594926,126.9638176,서울특별시 서대문구 서소문로 지하 17 (충정로3가),243
2,용답,37.5586888,127.0531724,서울특별시 성동구 용답길 86 (용답동),244
2,신답,37.569744,127.0469446,서울특별시 성동구 천호대로 232 (용답동),245
2,도림천,37.5144011,126.8826846,서울특별시 구로구 경인로 67길 160 (신도림동),247
2,양천구청,37.51263,126.8659,서울특별시 양천구 목동로3길 지하 33(신정동),248
2,신정네거리,37.5196652,126.8578401,서울특별시 양천구 중앙로 지하 261 (신정동),249
2,용두,37.5818187,127.0525297,서울특별시 동대문구 천호대로 지하 129,250
3,지축,37.649588,126.9121326,경기도 고양시 덕양구 삼송로 300 (지축동),309
3,구파발,37.64297579999999,126.9292199,서울특별시 은평구 진관2로 지하 15-25 (진관동),310
